"id","statement","evidence_type","source","confidence","implication","next_action"
"EV01","Meta có hệ thống học chính thức cho doanh nghiệp và nhà quảng cáo qua Meta Blueprint.","Observed","https://www.facebookblueprint.com/","High","Không cạnh tranh bằng độ chính thống; cần cạnh tranh bằng tính thực dụng, tiếng Việt, dễ tra cứu.","Trong landing, tránh claim như nguồn đầy đủ nhất; nói rõ là tài liệu vận hành thực tế."
"EV02","Có nhiều khóa học Facebook Ads trả phí, gồm cả hướng AI và hệ thống marketing.","Observed","https://vinalink.edu.vn/cac-khoa-hoc/facebook-marketing/","High","Thị trường có nhu cầu trả tiền để học Facebook Ads, nhưng cạnh tranh trực tiếp về khóa học sẽ khó.","Định vị Ebook là tài liệu tra cứu nhanh, giá thấp, dùng khi đang làm."
"EV03","Các trang tổng hợp khóa học Facebook Ads 2026 cho thấy thị trường có nhiều lựa chọn học khác nhau.","Observed","https://www.pace.edu.vn/tin-kho-tri-thuc/khoa-hoc-quang-cao-facebook","High","Khách có nhiều lựa chọn; cần làm rõ vì sao mua Ebook thay vì học khóa/video.","Tạo bảng so sánh: video, khóa học, tài liệu miễn phí, Ebook online."
"EV04","Video/playlist học Facebook Ads miễn phí và mới vẫn xuất hiện nhiều.","Observed","https://www.youtube.com/playlist?list=PLGic_i6BsAYwv3hizp9p-w8T-ZhhD2gjl","Medium","Nội dung miễn phí nhiều, nhưng dễ phân mảnh và mất thời gian tìm đúng đoạn.","Dùng angle: không thiếu video, thiếu nơi mở đúng phần đang cần."
"EV05","Bài hướng dẫn/lộ trình tự học Facebook Ads cho người mới vẫn được xuất bản và cập nhật.","Observed","https://imta.edu.vn/lo-trinh-hoc-quang-cao-facebook-ads/","Medium","Người mới có nhu cầu lộ trình, nhưng cần chuyển lộ trình thành thao tác cụ thể.","Trong Ebook/landing, show mục lục theo lộ trình từ mindset, toolset, skillset đến vận hành."
"EV06","Tài liệu miễn phí/tổng hợp cho người mới tồn tại nhiều.","Observed","https://govi.vn/bo-tai-lieu-tu-hoc-chay-quang-cao-facebook-cho-nguoi-bat-dau/","Medium","Khách sẽ so sánh với free; phải bán bằng tiết kiệm thời gian, hệ thống và cập nhật.","Thêm objection handling: miễn phí cũng có, nhưng mất công lọc và không theo tình huống."
"EV07","Voice mẫu của The Anh thường xoay quanh vấn đề chạy ads theo cảm giác, tin nhắn rẻ nhưng không ra đơn, không phân loại lead.","Observed internal","Bài viết mẫu do The Anh cung cấp trong phiên làm việc","High","Nội dung bán Ebook nên bắt đầu từ tình huống thật thay vì headline quá quảng cáo.","Dùng hook tự nhiên, ít gạch đầu dòng, tránh văn AI."
"EV08","Ebook được mô tả là tài liệu online có thể search/tra cứu theo đúng phần cần làm.","Observed internal","Mô tả sản phẩm từ The Anh trong phiên làm việc","Medium","Đây là điểm khác biệt mạnh nhất nếu chứng minh được bằng demo.","Tạo video/ảnh GIF search trong tài liệu và đưa lên landing/ad."
"EV09","Giá 399k có thể được neo với số tiền mất khi chạy quảng cáo sai.","Assumption","Suy luận từ pricing và pain quảng cáo mất tiền","Medium","Có thể làm copy conversion mạnh, nhưng cần test để tránh cảm giác hù dọa.","A/B copy: 399k vs vài ngày chạy sai so với 399k cho tài liệu 500 trang."
"EV10","Tệp ưu tiên nhiều khả năng là chủ doanh nghiệp/shop tự chạy ads hơn là marketer chuyên nghiệp.","Inferred","Tổng hợp từ pain, voice sample và vị trí giá 399k","Medium","Target/content nên nói với chủ doanh nghiệp trước, marketer là tệp phụ.","Test ad set/content riêng cho owner/shop và marketer mới."
