date,week,channel,funnel_stage,persona,content_pillar,format,hook,angle,key_message,cta,asset_needed,ads_usage,kpi,status,note
2026-07-07,Week 1,Facebook,Awareness,Chủ shop tự chạy ads,Học ads rời rạc,Post,"Chỉ muốn tạo tệp khách hàng, nhưng lại phải xem một video dài 40 phút","Mất thời gian vì kiến thức rời rạc","Không thiếu thông tin, thiếu nơi mở đúng phần cần làm","Xem thử Ebook","Ảnh/mockup giao diện search","Có thể chạy tương tác",save/share/comment,To do,
2026-07-08,Week 1,Facebook,Awareness,Chủ shop tự chạy ads,Chạy ads bằng cảm giác,Post,"Tin nhắn 3-4k không có nghĩa là quảng cáo đang hiệu quả","Tin nhắn rẻ nhưng sale không chốt","Đừng tối ưu quảng cáo bằng cảm giác","Nhắn tin để nhận link Ebook","Ảnh báo cáo ads minh họa","Có thể chạy tin nhắn",comment/inbox quality,To do,
2026-07-09,Week 1,Facebook,Consideration,Người mới học ads,Tra cứu khi triển khai,Video/Reel,"Mình thử search 'tệp khách hàng' trong Ebook để xem cần làm gì trước","Demo search trong tài liệu online","Cần phần nào mở đúng phần đó","Xem demo trên landing","Video quay màn hình search","Có thể chạy video view/remarketing",video view/CTR,To do,
2026-07-10,Week 1,Facebook,Consideration,Người mới học ads,Học ads rời rạc,Post,"Facebook Ads khó không phải vì thiếu tài liệu","Người mới bị ngợp vì không biết học phần nào trước","Tài liệu đi từ nền tảng đến thao tác thật","Đọc thử mục lục","Ảnh mục lục Ebook","Có thể chạy tương tác",save/landing click,To do,
2026-07-11,Week 1,Facebook,Consideration,Chủ DN thuê ads,Kiểm soát quảng cáo,Post,"Không tự chạy ads vẫn nên hiểu chỉ số này","Chủ doanh nghiệp cần biết hỏi đúng câu","Không cần tự làm hết, nhưng cần hiểu tiền ads đi đâu","Xem phần đọc chỉ số","Ảnh checklist chỉ số","Có thể chạy tương tác/traffic",CTR/comment,To do,
2026-07-12,Week 1,Facebook,Conversion,Chủ shop tự chạy ads,Chi phí chạy sai,Post,"399k có thể nhỏ hơn số tiền mất trong một ngày chạy sai","Neo giá với chi phí ads sai","399k cho tài liệu dùng lâu dài","Mua Ebook","Ảnh offer + demo giao diện","Có thể chạy sales/message",CPA/message-to-purchase,To do,
2026-07-13,Week 1,Facebook,Conversion,Người mới học ads,Checklist,Carousel,"Trước khi bấm chạy chiến dịch đầu tiên, kiểm tra 7 phần này","Checklist thao tác","Ebook giúp kiểm từng bước khi triển khai","Lưu bài và xem Ebook","Carousel checklist","Có thể chạy tương tác/remarketing",save/CTR,To do,
2026-07-14,Week 2,Facebook,Remarketing,Người đã xem landing,Demo tài liệu,Video,"Nếu anh/chị sợ 500 trang quá nhiều, đây là cách dùng","Không cần đọc hết, cần phần nào mở đúng phần đó","Ebook là tài liệu tra cứu, không phải tài liệu đọc một lần","Mua Ebook 399k","Video demo + CTA","Remarketing sales/message",CPA/CVR,To do,
2026-07-15,Week 2,Facebook,Remarketing,Người đã tương tác,Objection handling,Post,"Thông tin miễn phí có rồi, vậy vì sao vẫn cần tài liệu này?","So sánh miễn phí rời rạc với tài liệu có hệ thống","Giảm thời gian lọc, giảm sai khi làm thật","Xem bảng nội dung","Ảnh so sánh 2 cột","Remarketing",CTR/comment sentiment,To do,
2026-07-16,Week 2,Facebook,Conversion,Chủ shop tự chạy ads,Offer,Post,"Đang chạy ads mà vẫn phải đoán thì nên có một tài liệu để kiểm lại","Tự kiểm soát quảng cáo","Đừng để tiền ads tiếp tục mất vì thiếu hệ thống","Mua ngay","Ảnh offer + proof","Sales/message",purchase CPA,To do,
2026-07-17,Week 2,Email/CRM,CRM,Người đã mua,Hướng dẫn dùng,Email,"Cách dùng Ebook trong 15 phút đầu tiên","Onboarding sau mua","Mua rồi phải biết tra cứu theo tình huống","Mở Ebook","Email hướng dẫn","Không chạy ads",open/click,To do,
2026-07-18,Week 2,Facebook,Learning,Toàn bộ tệp,Tổng kết test,Post,"Sau 7 ngày test Ebook Facebook Ads, mình nhìn điều gì trước?","Minh bạch cách đọc dữ liệu","Không tối ưu theo cảm giác","Theo dõi bản cập nhật","Ảnh bảng report","Có thể chạy tương tác",comment/save,To do,
